GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
User Interface,com.apm.app,EmployeeUI,707,0,44,0,205,0,58,0,28,0
User Interface,com.apm.app,ContactUI,329,0,36,0,95,0,32,0,11,0
User Interface,com.apm.app,MainUI,42,0,5,0,19,0,8,0,4,0
User Interface,com.apm.app,RoleUI,369,0,22,0,99,0,35,0,22,0
