GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Utilities,com.apm.utility,Validate,67,0,8,0,21,0,9,0,5,0
Utilities,com.apm.utility,InputUtility,192,0,40,0,60,0,32,0,12,0
